Polling Site ID,Kenyatta,Odinga,Nyagah,Dida,Aukot,Kaluyu,Jirongo,Mwaura
19094046602201,259,6,0,0,0,0,0,0
45262130500601,107,228,3,0,2,0,1,0
45262130805901,79,132,1,0,2,0,0,0
46272136107001,138,54,0,0,1,0,0,1
14063031511601,499,7,0,0,2,0,0,0
24129064617201,66,103,0,0,0,0,0,0
7027013302506,344,121,0,6,0,0,0,0
8036017803001,201,155,0,12,0,0,0,0
12052025703201,342,39,1,1,0,0,0,0
30161080308701,144,4,0,0,0,0,0,0
19096047802301,408,2,0,1,2,0,0,0
19096048107903,436,1,0,1,3,0,0,0
17084041905201,34,286,1,1,1,1,0,0
1006003005804,89,206,0,5,1,1,0,0
15074036914901,58,155,2,0,6,1,0,1
12054026803901,361,49,0,0,0,2,0,0
13061030412701,138,7,0,0,0,0,1,0
44260129702302,141,166,2,1,0,0,3,0
37199099100102,42,449,1,0,1,1,1,0
41235117205901,7,546,0,0,2,0,1,0
38211105100601,24,311,2,0,0,0,1,0
41236117806401,1,322,0,0,1,0,0,0
40225112305201,38,289,0,1,0,0,0,1
39217108303201,196,230,5,0,3,0,1,1
1004001902006,192,171,2,0,0,0,0,0
17083041514501,48,293,3,2,0,1,0,0
18092046003201,379,2,0,0,0,0,0,0
32170085104203,487,12,1,0,0,1,0,0
1002000701202,93,268,2,0,0,0,0,0
6026012602901,143,259,5,1,3,0,0,0
15074036607501,53,124,0,1,1,1,0,0
43250125113701,1,448,0,0,0,0,0,0
12053026509002,339,45,0,2,3,2,0,0
23126062900301,111,228,0,0,1,0,1,0
47279139401609,383,97,0,0,2,0,1,0
47274137002313,228,236,0,0,0,0,0,0
45268133700501,147,142,0,0,0,0,1,1
47275137502104,265,177,1,0,0,0,0,0
33177088407601,227,116,1,1,2,0,0,0
27146072802802,344,38,1,0,1,0,0,1
14063031513001,238,38,0,0,0,0,0,0
23128063802601,0,39,0,0,0,0,0,0
47284142000902,304,181,1,0,1,2,0,0
35190094908501,400,1,0,2,1,0,0,0
14064032209802,390,10,0,1,1,1,0,2
35188093907201,497,7,1,0,0,1,1,0
6024011601901,60,380,5,1,4,1,1,0
23123061610201,41,17,0,0,1,0,0,0
35188093702302,288,3,0,1,1,0,0,0
41237118101402,3,338,0,0,0,0,0,0
42239119302701,2,438,0,0,0,0,0,0
17085042103701,51,283,0,1,1,0,0,0
26136067804502,92,258,5,0,1,1,0,0
19094046703003,403,5,0,0,0,1,0,0
8035017200701,447,64,3,33,1,1,2,0
44260129600901,213,16,1,0,1,1,0,0
47287143201505,248,243,0,1,1,2,0,2
41235117205402,4,388,1,0,1,0,0,0
38213106404601,56,358,0,1,1,1,1,2
13062030705001,234,21,0,0,1,0,1,0
18093046403602,516,9,0,0,0,0,0,0
16080039603203,232,297,0,0,0,0,0,0
37203101704401,119,370,2,2,0,0,0,1
15072035503702,96,216,0,0,2,0,1,2
47276137901401,467,68,0,1,0,0,0,0
13060029910302,355,18,0,0,2,0,0,0
27143071809102,166,82,3,1,2,0,0,0
34185092100601,139,312,4,0,1,0,0,0
40229114606601,8,527,0,0,0,0,1,0
47288143801503,235,207,2,2,0,0,0,0
16078038602201,40,274,3,2,3,0,0,1
30160080008401,156,10,1,0,0,1,0,0
20100050005301,476,13,0,0,0,2,0,0
44259129508701,336,79,0,0,1,0,0,1
47280140001908,413,89,0,0,0,0,0,0
8034016901202,118,160,0,11,0,0,0,0
44254126500901,0,452,4,0,0,0,0,0
44260129803201,192,146,2,0,2,2,0,1
3011005403205,34,370,5,1,1,1,1,0
19097048508302,358,2,0,1,0,1,0,0
47279139100304,406,134,2,0,0,0,0,0
21108053502902,169,104,2,3,1,0,0,0
13062030809001,91,2,0,0,0,0,0,0
47279139200709,421,63,2,0,0,0,0,0
26139069103205,137,267,2,0,0,0,0,1
24129064207301,32,30,1,0,0,0,0,0
21105051901602,431,2,0,0,0,0,0,0
26136067601302,64,377,4,0,0,0,0,0
13061030519301,123,1,0,0,0,0,1,0
38211105100101,28,318,2,2,3,1,2,0
30160079905601,141,187,3,0,1,0,0,0
31165082405501,37,83,0,0,0,0,0,0
32167083001201,549,5,1,1,0,1,0,0
43245122202401,1,499,1,1,0,0,0,0
31164081905703,301,105,2,1,0,0,0,0
24130064803801,276,70,1,0,0,0,0,0
18092045901801,490,4,0,0,0,0,0,0
24132066019301,69,97,3,0,1,0,0,0
17085042309201,16,375,1,0,0,0,3,0
32174086805801,479,52,1,0,0,0,0,0
29154076704201,351,13,0,0,4,0,0,0
34185092201404,263,225,0,0,2,0,1,0
10045022708901,71,3,0,0,0,0,0,0
8038018704801,89,91,0,1,0,0,0,0
22111055405703,538,3,0,0,0,0,0,1
21104051702301,542,6,0,1,0,1,1,0
35190094705105,302,113,1,0,0,0,0,0
4019009507301,201,2,0,3,0,0,0,0
42243121405802,0,451,1,0,0,0,1,0
47286142600147,247,256,0,1,1,1,0,1
10045022303202,117,288,2,1,4,0,0,1
38215107505701,63,190,3,0,1,0,1,1
47282141001306,94,355,0,0,0,0,0,1
17087043513201,10,271,4,1,1,0,1,0
28150074809301,461,31,0,0,0,0,0,1
23123061201102,217,67,1,0,4,1,1,0
38213106709101,33,454,3,0,1,1,1,1
44257127701301,3,512,0,0,0,0,0,1
32169084705901,430,45,0,0,1,0,0,0
12053026202603,313,53,0,1,1,0,0,0
15067033417901,41,388,3,1,8,0,1,0
31163081304001,385,4,0,0,1,2,1,0
32174086806701,314,56,1,0,4,1,0,0
29155077101602,100,254,0,0,0,0,0,1
41233116103601,1,228,0,0,0,0,0,0
1001000200505,135,238,1,4,0,1,0,0
20100050004802,422,1,0,0,1,1,0,0
23128064006202,88,305,0,0,0,0,0,0
